episode_idx,trajectory_file,num_steps,episode_reward
0,expert_episode_000.npz,263,239.20891485353405
1,expert_episode_001.npz,210,244.80383533753346
2,expert_episode_002.npz,204,240.54397336903307
3,expert_episode_003.npz,412,257.9275385610258
4,expert_episode_004.npz,292,270.43579358192324
5,expert_episode_005.npz,242,292.63009022765607
6,expert_episode_006.npz,449,252.921810074511
7,expert_episode_007.npz,395,283.9492561261202
8,expert_episode_008.npz,365,253.3848673444918
9,expert_episode_009.npz,429,253.25174540913898
10,expert_episode_010.npz,334,264.3887243295575
11,expert_episode_011.npz,466,227.52077777524505
12,expert_episode_012.npz,261,265.8965279181797
13,expert_episode_013.npz,320,269.6153004891138
14,expert_episode_014.npz,303,265.75528190933085
15,expert_episode_015.npz,252,263.0365449132386
16,expert_episode_016.npz,222,245.98550886290207
17,expert_episode_017.npz,251,241.95335427108964
18,expert_episode_018.npz,221,272.39773984768107
19,expert_episode_019.npz,212,261.4911107616348
